,cuisine,c,restaurant_address,address
0,69,Arabian,65,"Vijay Nagar, Bangalore"
1,9, Biryani,65,"Vijay Nagar, Bangalore"
2,44, North Indian,65,"Vijay Nagar, Bangalore"
3,15, Chinese,65,"Vijay Nagar, Bangalore"
4,20, Fast Food,65,"Vijay Nagar, Bangalore"
5,57, Sichuan,65,"Vijay Nagar, Bangalore"
6,80,Chinese,57,"Shanti Nagar, Bangalore"
7,44, North Indian,57,"Shanti Nagar, Bangalore"
8,43, Mughlai,57,"Shanti Nagar, Bangalore"
9,73,Bakery,64,"Vasanth Nagar, Bangalore"
10,18, Desserts,64,"Vasanth Nagar, Bangalore"
11,77,Burger,60,"St. Marks Road, Bangalore"
12,1, American,60,"St. Marks Road, Bangalore"
13,6, Bakery,60,"St. Marks Road, Bangalore"
14,28, Italian,60,"St. Marks Road, Bangalore"
15,45, Oriental,60,"St. Marks Road, Bangalore"
16,17, Continental,60,"St. Marks Road, Bangalore"
17,8, Beverages,60,"St. Marks Road, Bangalore"
18,18, Desserts,60,"St. Marks Road, Bangalore"
19,77,Burger,38,"MG Road, Bangalore"
20,20, Fast Food,38,"MG Road, Bangalore"
21,101,North Indian,33,"Koramangala 7th Block, Bangalore"
22,50, Rajasthani,33,"Koramangala 7th Block, Bangalore"
23,20, Fast Food,33,"Koramangala 7th Block, Bangalore"
24,41, Mithai,33,"Koramangala 7th Block, Bangalore"
25,8, Beverages,33,"Koramangala 7th Block, Bangalore"
26,18, Desserts,33,"Koramangala 7th Block, Bangalore"
27,101,North Indian,62,"UB City, Bangalore"
28,5, BBQ,62,"UB City, Bangalore"
29,9, Biryani,62,"UB City, Bangalore"
30,43, Mughlai,62,"UB City, Bangalore"
31,54, Seafood,62,"UB City, Bangalore"
32,8, Beverages,62,"UB City, Bangalore"
33,18, Desserts,62,"UB City, Bangalore"
34,101,North Indian,42,"Nagawara, Bangalore"
35,15, Chinese,42,"Nagawara, Bangalore"
36,3, Arabian,42,"Nagawara, Bangalore"
37,43, Mughlai,42,"Nagawara, Bangalore"
38,104,Pizza,57,"Shanti Nagar, Bangalore"
39,28, Italian,57,"Shanti Nagar, Bangalore"
40,48, Pasta,57,"Shanti Nagar, Bangalore"
41,20, Fast Food,57,"Shanti Nagar, Bangalore"
42,18, Desserts,57,"Shanti Nagar, Bangalore"
46,8, Beverages,57,"Shanti Nagar, Bangalore"
47,77,Burger,8,"Brigade Road, Bangalore"
48,20, Fast Food,8,"Brigade Road, Bangalore"
49,9, Biryani,8,"Brigade Road, Bangalore"
50,18, Desserts,8,"Brigade Road, Bangalore"
51,8, Beverages,8,"Brigade Road, Bangalore"
52,101,North Indian,58,"Shivajinagar, Bangalore"
53,9, Biryani,58,"Shivajinagar, Bangalore"
54,32, Kebab,58,"Shivajinagar, Bangalore"
55,15, Chinese,58,"Shivajinagar, Bangalore"
56,58, South Indian,58,"Shivajinagar, Bangalore"
57,43, Mughlai,58,"Shivajinagar, Bangalore"
58,8, Beverages,58,"Shivajinagar, Bangalore"
59,77,Burger,12,"Commercial Street, Bangalore"
60,20, Fast Food,12,"Commercial Street, Bangalore"
61,18, Desserts,12,"Commercial Street, Bangalore"
62,8, Beverages,12,"Commercial Street, Bangalore"
63,76,Biryani,51,"Residency Road, Bangalore"
64,2, Andhra,51,"Residency Road, Bangalore"
65,44, North Indian,51,"Residency Road, Bangalore"
66,54, Seafood,51,"Residency Road, Bangalore"
67,83,Fast Food,58,"Shivajinagar, Bangalore"
68,51, Rolls,58,"Shivajinagar, Bangalore"
69,11, Burger,58,"Shivajinagar, Bangalore"
70,96,Mithai,8,"Brigade Road, Bangalore"
72,59, Street Food,8,"Brigade Road, Bangalore"
73,77,Burger,16,"Frazer Town, Bangalore"
74,20, Fast Food,16,"Frazer Town, Bangalore"
75,66, Wraps,16,"Frazer Town, Bangalore"
76,59, Street Food,16,"Frazer Town, Bangalore"
77,8, Beverages,16,"Frazer Town, Bangalore"
78,104,Pizza,41,"Mantri Square, Malleshwaram, Bangalore"
79,48, Pasta,41,"Mantri Square, Malleshwaram, Bangalore"
80,53, Sandwich,41,"Mantri Square, Malleshwaram, Bangalore"
81,20, Fast Food,41,"Mantri Square, Malleshwaram, Bangalore"
82,18, Desserts,41,"Mantri Square, Malleshwaram, Bangalore"
83,8, Beverages,41,"Mantri Square, Malleshwaram, Bangalore"
84,85,Ice Cream,6,"Basavanagudi, Bangalore"
85,8, Beverages,6,"Basavanagudi, Bangalore"
86,55, Shake,6,"Basavanagudi, Bangalore"
87,83,Fast Food,8,"Brigade Road, Bangalore"
88,53, Sandwich,8,"Brigade Road, Bangalore"
90,98,Mughlai,40,"Malleshwaram, Bangalore"
91,3, Arabian,40,"Malleshwaram, Bangalore"
92,44, North Indian,40,"Malleshwaram, Bangalore"
93,15, Chinese,40,"Malleshwaram, Bangalore"
94,54, Seafood,40,"Malleshwaram, Bangalore"
95,104,Pizza,6,"Basavanagudi, Bangalore"
96,28, Italian,6,"Basavanagudi, Bangalore"
97,111,South Indian,57,"Shanti Nagar, Bangalore"
98,59, Street Food,57,"Shanti Nagar, Bangalore"
100,15, Chinese,57,"Shanti Nagar, Bangalore"
104,85,Ice Cream,51,"Residency Road, Bangalore"
105,18, Desserts,51,"Residency Road, Bangalore"
106,55, Shake,51,"Residency Road, Bangalore"
107,76,Biryani,20,"Indiranagar, Bangalore"
108,2, Andhra,20,"Indiranagar, Bangalore"
109,44, North Indian,20,"Indiranagar, Bangalore"
110,15, Chinese,20,"Indiranagar, Bangalore"
111,43, Mughlai,20,"Indiranagar, Bangalore"
112,58, South Indian,20,"Indiranagar, Bangalore"
113,18, Desserts,20,"Indiranagar, Bangalore"
114,8, Beverages,20,"Indiranagar, Bangalore"
115,90,Kerala,27,"Kammanahalli, Bangalore"
116,44, North Indian,27,"Kammanahalli, Bangalore"
117,15, Chinese,27,"Kammanahalli, Bangalore"
118,35, Lebanese,27,"Kammanahalli, Bangalore"
119,9, Biryani,27,"Kammanahalli, Bangalore"
120,25, Ice Cream,27,"Kammanahalli, Bangalore"
121,8, Beverages,27,"Kammanahalli, Bangalore"
122,73,Bakery,32,"Koramangala 6th Block, Bangalore"
123,25, Ice Cream,32,"Koramangala 6th Block, Bangalore"
124,83,Fast Food,24,"Jayanagar, Bangalore"
125,59, Street Food,24,"Jayanagar, Bangalore"
126,37, Maharashtrian,24,"Jayanagar, Bangalore"
127,51, Rolls,24,"Jayanagar, Bangalore"
128,25, Ice Cream,24,"Jayanagar, Bangalore"
129,101,North Indian,6,"Basavanagudi, Bangalore"
130,32, Kebab,6,"Basavanagudi, Bangalore"
131,24, Hyderabadi,6,"Basavanagudi, Bangalore"
132,43, Mughlai,6,"Basavanagudi, Bangalore"
133,15, Chinese,6,"Basavanagudi, Bangalore"
134,51, Rolls,6,"Basavanagudi, Bangalore"
135,83,Fast Food,50,"Rajajinagar, Bangalore"
136,11, Burger,50,"Rajajinagar, Bangalore"
137,49, Pizza,50,"Rajajinagar, Bangalore"
138,81,Continental,52,"Richmond Road, Bangalore"
139,23, Healthy Food,52,"Richmond Road, Bangalore"
140,20, Fast Food,52,"Richmond Road, Bangalore"
141,11, Burger,52,"Richmond Road, Bangalore"
142,53, Sandwich,52,"Richmond Road, Bangalore"
143,15, Chinese,52,"Richmond Road, Bangalore"
144,48, Pasta,52,"Richmond Road, Bangalore"
145,8, Beverages,52,"Richmond Road, Bangalore"
149,73,Bakery,63,"Ulsoor, Bangalore"
150,97,Momos,10,"Church Street, Bangalore"
151,20, Fast Food,10,"Church Street, Bangalore"
152,63, Tibetan,10,"Church Street, Bangalore"
153,94,Mexican,17,"Garuda Mall, Magrath Road, Bangalore"
154,66, Wraps,17,"Garuda Mall, Magrath Road, Bangalore"
155,20, Fast Food,17,"Garuda Mall, Magrath Road, Bangalore"
161,77,Burger,57,"Shanti Nagar, Bangalore"
163,1, American,57,"Shanti Nagar, Bangalore"
166,8, Beverages,64,"Vasanth Nagar, Bangalore"
169,84,Healthy Food,13,"Cunningham Road, Bangalore"
170,44, North Indian,13,"Cunningham Road, Bangalore"
171,49, Pizza,13,"Cunningham Road, Bangalore"
172,11, Burger,13,"Cunningham Road, Bangalore"
173,48, Pasta,13,"Cunningham Road, Bangalore"
174,9, Biryani,13,"Cunningham Road, Bangalore"
175,15, Chinese,13,"Cunningham Road, Bangalore"
176,8, Beverages,13,"Cunningham Road, Bangalore"
177,83,Fast Food,65,"Vijay Nagar, Bangalore"
179,59, Street Food,65,"Vijay Nagar, Bangalore"
180,11, Burger,65,"Vijay Nagar, Bangalore"
181,49, Pizza,65,"Vijay Nagar, Bangalore"
182,8, Beverages,65,"Vijay Nagar, Bangalore"
183,25, Ice Cream,65,"Vijay Nagar, Bangalore"
184,84,Healthy Food,62,"UB City, Bangalore"
185,53, Sandwich,62,"UB City, Bangalore"
186,66, Wraps,62,"UB City, Bangalore"
187,52, Salad,62,"UB City, Bangalore"
188,20, Fast Food,62,"UB City, Bangalore"
190,106,Rolls,57,"Shanti Nagar, Bangalore"
192,66, Wraps,57,"Shanti Nagar, Bangalore"
194,96,Mithai,12,"Commercial Street, Bangalore"
195,59, Street Food,12,"Commercial Street, Bangalore"
198,76,Biryani,63,"Ulsoor, Bangalore"
199,32, Kebab,63,"Ulsoor, Bangalore"
200,68,Andhra,60,"St. Marks Road, Bangalore"
201,9, Biryani,60,"St. Marks Road, Bangalore"
202,58, South Indian,60,"St. Marks Road, Bangalore"
203,44, North Indian,60,"St. Marks Road, Bangalore"
204,15, Chinese,60,"St. Marks Road, Bangalore"
205,43, Mughlai,60,"St. Marks Road, Bangalore"
208,76,Biryani,16,"Frazer Town, Bangalore"
209,43, Mughlai,16,"Frazer Town, Bangalore"
210,32, Kebab,16,"Frazer Town, Bangalore"
211,0, Afghan,16,"Frazer Town, Bangalore"
214,18, Desserts,16,"Frazer Town, Bangalore"
215,85,Ice Cream,16,"Frazer Town, Bangalore"
216,112,Street Food,8,"Brigade Road, Bangalore"
217,61, Tea,8,"Brigade Road, Bangalore"
218,90,Kerala,2,"BTM, Bangalore"
219,15, Chinese,2,"BTM, Bangalore"
220,58, South Indian,2,"BTM, Bangalore"
221,3, Arabian,2,"BTM, Bangalore"
222,30, Juices,2,"BTM, Bangalore"
223,8, Beverages,2,"BTM, Bangalore"
224,55, Shake,2,"BTM, Bangalore"
225,98,Mughlai,51,"Residency Road, Bangalore"
227,9, Biryani,51,"Residency Road, Bangalore"
228,15, Chinese,51,"Residency Road, Bangalore"
230,25, Ice Cream,51,"Residency Road, Bangalore"
232,8, Beverages,51,"Residency Road, Bangalore"
233,111,South Indian,39,"Majestic, Bangalore"
234,44, North Indian,39,"Majestic, Bangalore"
235,15, Chinese,39,"Majestic, Bangalore"
236,53, Sandwich,39,"Majestic, Bangalore"
237,59, Street Food,39,"Majestic, Bangalore"
238,25, Ice Cream,39,"Majestic, Bangalore"
239,55, Shake,39,"Majestic, Bangalore"
240,8, Beverages,39,"Majestic, Bangalore"
241,75,Beverages,51,"Residency Road, Bangalore"
243,30, Juices,51,"Residency Road, Bangalore"
246,11, Burger,51,"Residency Road, Bangalore"
247,20, Fast Food,51,"Residency Road, Bangalore"
248,104,Pizza,50,"Rajajinagar, Bangalore"
250,20, Fast Food,50,"Rajajinagar, Bangalore"
251,113,Tea,10,"Church Street, Bangalore"
252,8, Beverages,10,"Church Street, Bangalore"
253,55, Shake,10,"Church Street, Bangalore"
255,51, Rolls,10,"Church Street, Bangalore"
256,18, Desserts,10,"Church Street, Bangalore"
257,16, Coffee,10,"Church Street, Bangalore"
258,111,South Indian,2,"BTM, Bangalore"
259,9, Biryani,2,"BTM, Bangalore"
264,106,Rolls,13,"Cunningham Road, Bangalore"
265,20, Fast Food,13,"Cunningham Road, Bangalore"
267,80,Chinese,52,"Richmond Road, Bangalore"
268,4, Asian,52,"Richmond Road, Bangalore"
269,62, Thai,52,"Richmond Road, Bangalore"
270,54, Seafood,52,"Richmond Road, Bangalore"
271,38, Malaysian,52,"Richmond Road, Bangalore"
272,85,Ice Cream,66,"Wilson Garden, Bangalore"
273,18, Desserts,66,"Wilson Garden, Bangalore"
274,85,Ice Cream,60,"St. Marks Road, Bangalore"
276,55, Shake,60,"St. Marks Road, Bangalore"
277,94,Mexican,59,"Sigma Mall, Cunningham Road, Bangalore"
278,20, Fast Food,59,"Sigma Mall, Cunningham Road, Bangalore"
279,8, Beverages,59,"Sigma Mall, Cunningham Road, Bangalore"
280,76,Biryani,57,"Shanti Nagar, Bangalore"
281,32, Kebab,57,"Shanti Nagar, Bangalore"
282,24, Hyderabadi,57,"Shanti Nagar, Bangalore"
283,36, Lucknowi,57,"Shanti Nagar, Bangalore"
284,77,Burger,14,"Domlur, Bangalore"
285,53, Sandwich,14,"Domlur, Bangalore"
286,20, Fast Food,14,"Domlur, Bangalore"
287,66, Wraps,14,"Domlur, Bangalore"
288,9, Biryani,14,"Domlur, Bangalore"
289,8, Beverages,14,"Domlur, Bangalore"
290,18, Desserts,14,"Domlur, Bangalore"
291,111,South Indian,38,"MG Road, Bangalore"
292,59, Street Food,38,"MG Road, Bangalore"
293,15, Chinese,38,"MG Road, Bangalore"
295,25, Ice Cream,38,"MG Road, Bangalore"
296,8, Beverages,38,"MG Road, Bangalore"
297,115,Waffle,56,"Seshadripuram, Bangalore"
298,46, Pancake,56,"Seshadripuram, Bangalore"
299,18, Desserts,56,"Seshadripuram, Bangalore"
300,8, Beverages,56,"Seshadripuram, Bangalore"
301,96,Mithai,64,"Vasanth Nagar, Bangalore"
302,68,Andhra,56,"Seshadripuram, Bangalore"
303,9, Biryani,56,"Seshadripuram, Bangalore"
304,58, South Indian,56,"Seshadripuram, Bangalore"
307,24, Hyderabadi,56,"Seshadripuram, Bangalore"
309,14, Chettinad,20,"Indiranagar, Bangalore"
312,106,Rolls,22,"JP Nagar, Bangalore"
313,9, Biryani,22,"JP Nagar, Bangalore"
314,15, Chinese,22,"JP Nagar, Bangalore"
315,44, North Indian,22,"JP Nagar, Bangalore"
316,57, Sichuan,22,"JP Nagar, Bangalore"
319,57, Sichuan,58,"Shivajinagar, Bangalore"
320,80,Chinese,40,"Malleshwaram, Bangalore"
321,42, Momos,40,"Malleshwaram, Bangalore"
322,57, Sichuan,40,"Malleshwaram, Bangalore"
323,75,Beverages,8,"Brigade Road, Bangalore"
324,55, Shake,8,"Brigade Road, Bangalore"
326,25, Ice Cream,8,"Brigade Road, Bangalore"
327,73,Bakery,37,"Lavelle Road, Bangalore"
328,13, Cafe,37,"Lavelle Road, Bangalore"
329,28, Italian,37,"Lavelle Road, Bangalore"
330,17, Continental,37,"Lavelle Road, Bangalore"
331,20, Fast Food,37,"Lavelle Road, Bangalore"
332,8, Beverages,37,"Lavelle Road, Bangalore"
333,18, Desserts,37,"Lavelle Road, Bangalore"
337,76,Biryani,50,"Rajajinagar, Bangalore"
338,44, North Indian,50,"Rajajinagar, Bangalore"
339,32, Kebab,50,"Rajajinagar, Bangalore"
340,111,South Indian,51,"Residency Road, Bangalore"
342,59, Street Food,51,"Residency Road, Bangalore"
346,111,South Indian,65,"Vijay Nagar, Bangalore"
348,41, Mithai,65,"Vijay Nagar, Bangalore"
351,76,Biryani,38,"MG Road, Bangalore"
352,44, North Indian,38,"MG Road, Bangalore"
353,58, South Indian,38,"MG Road, Bangalore"
355,54, Seafood,38,"MG Road, Bangalore"
357,76,Biryani,24,"Jayanagar, Bangalore"
358,58, South Indian,24,"Jayanagar, Bangalore"
359,18, Desserts,24,"Jayanagar, Bangalore"
360,8, Beverages,24,"Jayanagar, Bangalore"
361,2, Andhra,24,"Jayanagar, Bangalore"
362,80,Chinese,34,"Koramangala 8th Block, Bangalore"
363,29, Japanese,34,"Koramangala 8th Block, Bangalore"
364,62, Thai,34,"Koramangala 8th Block, Bangalore"
365,26, Indonesian,34,"Koramangala 8th Block, Bangalore"
366,4, Asian,34,"Koramangala 8th Block, Bangalore"
367,82,Desserts,52,"Richmond Road, Bangalore"
369,85,Ice Cream,10,"Church Street, Bangalore"
372,76,Biryani,2,"BTM, Bangalore"
373,44, North Indian,2,"BTM, Bangalore"
374,43, Mughlai,2,"BTM, Bangalore"
375,20, Fast Food,2,"BTM, Bangalore"
377,57, Sichuan,2,"BTM, Bangalore"
378,106,Rolls,66,"Wilson Garden, Bangalore"
383,106,Rolls,64,"Vasanth Nagar, Bangalore"
384,66, Wraps,64,"Vasanth Nagar, Bangalore"
385,20, Fast Food,64,"Vasanth Nagar, Bangalore"
387,55, Shake,64,"Vasanth Nagar, Bangalore"
389,111,South Indian,16,"Frazer Town, Bangalore"
390,15, Chinese,16,"Frazer Town, Bangalore"
391,44, North Indian,16,"Frazer Town, Bangalore"
392,57, Sichuan,16,"Frazer Town, Bangalore"
393,73,Bakery,24,"Jayanagar, Bangalore"
395,76,Biryani,31,"Koramangala 5th Block, Bangalore"
396,32, Kebab,31,"Koramangala 5th Block, Bangalore"
397,44, North Indian,31,"Koramangala 5th Block, Bangalore"
398,107,Sandwich,56,"Seshadripuram, Bangalore"
399,49, Pizza,56,"Seshadripuram, Bangalore"
400,20, Fast Food,56,"Seshadripuram, Bangalore"
401,59, Street Food,56,"Seshadripuram, Bangalore"
402,101,North Indian,63,"Ulsoor, Bangalore"
403,15, Chinese,63,"Ulsoor, Bangalore"
404,3, Arabian,63,"Ulsoor, Bangalore"
405,43, Mughlai,63,"Ulsoor, Bangalore"
406,20, Fast Food,63,"Ulsoor, Bangalore"
407,8, Beverages,63,"Ulsoor, Bangalore"
408,55, Shake,63,"Ulsoor, Bangalore"
409,70,Asian,37,"Lavelle Road, Bangalore"
411,52, Salad,37,"Lavelle Road, Bangalore"
412,49, Pizza,37,"Lavelle Road, Bangalore"
413,53, Sandwich,37,"Lavelle Road, Bangalore"
414,11, Burger,37,"Lavelle Road, Bangalore"
417,78,Cafe,13,"Cunningham Road, Bangalore"
418,61, Tea,13,"Cunningham Road, Bangalore"
420,106,Rolls,27,"Kammanahalli, Bangalore"
421,20, Fast Food,27,"Kammanahalli, Bangalore"
422,101,North Indian,40,"Malleshwaram, Bangalore"
423,58, South Indian,40,"Malleshwaram, Bangalore"
425,53, Sandwich,40,"Malleshwaram, Bangalore"
426,59, Street Food,40,"Malleshwaram, Bangalore"
427,25, Ice Cream,40,"Malleshwaram, Bangalore"
428,30, Juices,40,"Malleshwaram, Bangalore"
429,8, Beverages,40,"Malleshwaram, Bangalore"
430,76,Biryani,22,"JP Nagar, Bangalore"
431,2, Andhra,22,"JP Nagar, Bangalore"
434,54, Seafood,22,"JP Nagar, Bangalore"
435,68,Andhra,16,"Frazer Town, Bangalore"
436,24, Hyderabadi,16,"Frazer Town, Bangalore"
437,9, Biryani,16,"Frazer Town, Bangalore"
441,96,Mithai,54,"Sadashiv Nagar, Bangalore"
442,59, Street Food,54,"Sadashiv Nagar, Bangalore"
443,116,Wraps,57,"Shanti Nagar, Bangalore"
446,9, Biryani,57,"Shanti Nagar, Bangalore"
447,25, Ice Cream,57,"Shanti Nagar, Bangalore"
450,104,Pizza,10,"Church Street, Bangalore"
451,48, Pasta,10,"Church Street, Bangalore"
452,28, Italian,10,"Church Street, Bangalore"
453,17, Continental,10,"Church Street, Bangalore"
456,78,Cafe,37,"Lavelle Road, Bangalore"
460,58, South Indian,50,"Rajajinagar, Bangalore"
463,58, South Indian,6,"Basavanagudi, Bangalore"
464,59, Street Food,6,"Basavanagudi, Bangalore"
465,20, Fast Food,6,"Basavanagudi, Bangalore"
466,18, Desserts,6,"Basavanagudi, Bangalore"
469,107,Sandwich,6,"Basavanagudi, Bangalore"
473,96,Mithai,25,"Jeevan Bhima Nagar, Bangalore"
474,44, North Indian,25,"Jeevan Bhima Nagar, Bangalore"
475,59, Street Food,25,"Jeevan Bhima Nagar, Bangalore"
476,101,North Indian,46,"Old Madras Road, Bangalore"
477,43, Mughlai,46,"Old Madras Road, Bangalore"
478,15, Chinese,46,"Old Madras Road, Bangalore"
479,32, Kebab,46,"Old Madras Road, Bangalore"
480,51, Rolls,46,"Old Madras Road, Bangalore"
481,54, Seafood,46,"Old Madras Road, Bangalore"
482,3, Arabian,46,"Old Madras Road, Bangalore"
483,9, Biryani,46,"Old Madras Road, Bangalore"
484,112,Street Food,30,"Koramangala 4th Block, Bangalore"
485,20, Fast Food,30,"Koramangala 4th Block, Bangalore"
486,44, North Indian,30,"Koramangala 4th Block, Bangalore"
487,8, Beverages,30,"Koramangala 4th Block, Bangalore"
488,73,Bakery,20,"Indiranagar, Bangalore"
490,106,Rolls,50,"Rajajinagar, Bangalore"
491,112,Street Food,3,"Banashankari, Bangalore"
492,76,Biryani,39,"Majestic, Bangalore"
493,24, Hyderabadi,39,"Majestic, Bangalore"
495,32, Kebab,39,"Majestic, Bangalore"
496,43, Mughlai,39,"Majestic, Bangalore"
497,18, Desserts,39,"Majestic, Bangalore"
498,96,Mithai,6,"Basavanagudi, Bangalore"
